Expression,URL,ExampleURL,ExampleIn,ExampleOut,InNum,DataTypes,OutType,OutputNote
°°°.sort_values(ascending=True),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.sort_values.html,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same-sized Pandas ""Series"" as in the input expression, only with the values rearranged ascending, however that makes sense for ""data type"" of the values within the ""Series.""  IMPORTANT NOTE:  unless you run a ""re-indexing"" command after sorting, the values will sort-of kind-of remember their ""original position number"" within the Series, meaning unpredictable behavior things that deal with ""corresponding values"" between two expressions that are both Pandas ""Series.""  For example, with a series full of numbers nicknamed ""ser,"" ""ser.sort_values() + ser"" will produce the same output as ""ser + ser"" (a new Series with each number doubled), and that output series will still print to screen or export to CSV in the order of the original position numbers.  However, ""ser.equals(ser.sort_values(ascending=False))"" expression will be False even though ""ser.equals(ser)"" is True.  ANOTHER NOTE:  Only works in newer versions of the ""Pandas"" extension to Python."
"°°°.sort(inplace=False, ascending=True)",http://pandas.pydata.org/pandas-docs/version/0.18/generated/pandas.Series.sort.html,,,,1,"Pandas ""Series.""","Pandas ""Series""","Equivalent to  the Pandas ""Series"" operation "".sort_values(ascending=True)"", but only works in older versions of the ""Pandas"" extension to Python."
°°°.max(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.min.html,,,,1,"Pandas ""Series""","Numpy plaintext-equivalent, Numpy number-equivalent, etc.","The ""maximum value"" found within the Pandas ""Series"" from the input expression.  Will be ""0-dimensional"" data (just a single number, piece of plaintext, etc).  Note that while technically, the output ""data type"" is not of the native Python number, plaintext, etc. types, in most pieces of code, you can use such data as if it were.  If you run into problems, try converting one of these Numpy number-equivalent or Numpy plaintext-equivalent ""output values"" into a native Python equivalent by using its "".item()"" operation.  But only if you're getting unexpected results without doing so.  Your program will error out if it doesn't make sense to apply some form of the concept of ""maximum value"" to the values in the input ""Series."""
°°°.min(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.min.html,,,,1,"Pandas ""Series""","Numpy plaintext-equivalent, Numpy number-equivalent, etc.","The ""minimum value"" found within the Pandas ""Series"" from the input expression.  Will be ""0-dimensional"" data (just a single number, piece of plaintext, etc).  Your program will error out if it doesn't make sense to apply some form of the concept of ""minimum value"" to the values in the input ""Series."""
°°°.mean(),,,,,1,"Pandas ""Series""",Numpy number-equivalent,"The ""mean value"" found within the Pandas ""Series"" from the input expression.  Will be ""0-dimensional"" data (just a single number, piece of plaintext, etc).  Your program will error out if it doesn't make sense to apply some form of the concept of ""mean value"" to the values in the input ""Series."""
°°°.median(),,,,,1,"Pandas ""Series""",Numpy number-equivalent,"The ""median value"" found within the Pandas ""Series"" from the input expression.  Will be ""0-dimensional"" data (just a single number, piece of plaintext, etc).  Your program will error out if it doesn't make sense to apply some form of the concept of ""median value"" to the values in the input ""Series."""
°°°.sum(),,,,,1,"Pandas ""Series""",Numpy number-equivalent,"The sum of all values found within the Pandas ""Series"" from the input expression.  Will be ""0-dimensional"" data (just a single number, piece of plaintext, etc).  Your program will error out if it doesn't make sense to apply some form of the concept of ""sum"" to the values in the input ""Series."""
°°°.item(),,,,,1,"Numpy plaintext-equivalent, Numpy number-equivalent, etc.","plaintext, number, etc.","The same value as in the input parameter, only transformed under the covers into a ""native Python data type.""  You shouldn't need this (""equivalents"" for 0-dimensional / single-point data in the ""Numpy"" extension to Python are pretty good about working wherever in the code you could put the type of data that they're equivalent to), but now you have it in case you do."
°°°1°°° == °°°2°°°,https://docs.python.org/3/library/stdtypes.html#comparisons,,,,2,"#1:  plaintext, number, Boolean (True/False), etc.  #2:  plaintext, number, Boolean (True/False), etc.",Boolean (True/False),"Whether input expression #2 is the same value as input expression #1.  You may get unexpected answers for True/False, or your program may halt with an error, if the value-comparisons don't intuitively make sense.  One particular ""gotcha"" can be plaintext-to-number comparisons (is a text representation of 500 really the same as the number 500?).  Also watch case-sensitivity -- for case-insensitive ""equals"" checks between pieces of plaintext, you'll want to uppercase/lowercase both sides of the ""equals"" first!  (This is true in all ""comparison"" operations between pieces of text mentioned here.)"
°°°1°°° == °°°2°°°,,,,,2,"#1:  Pandas ""Series.""  #2:  plaintext, number, Boolean (True/False), etc.  (Or the reverse.)","Pandas ""Series""","The same-sized Pandas ""Series"" as in input expression #1, only with each value in the ""Series"" replaced by True/False explaining whether that value was the same as the value from input expression #2.  (Or equivalent, reading explanation w/ #1 & #2 swapped if swapped order in code.)  You may get unexpected answers for True/False, or your program may halt with an error, if the value-comparisons don't intuitively make sense.  One particular ""gotcha"" can be plaintext-to-number comparisons (is a text representation of 500 really the same as the number 500?)."
°°°1°°°.equals(°°°2°°°),,,,,2,"#1:  Pandas ""Series.""   #2:  Pandas ""Series;"" SAME LENGTH as the Series in expression #1.",Boolean (True/False),"Whether each and every value in Pandas ""Series"" #2 is the same as the value it ""corresponds to"" by position number in Pandas ""Series"" #1.  (Good for, say, a quick dummy-check of whether anyone made any typos between 2 columns that should be the same.)  You may get unexpected answers for True/False, or your program may halt with an error, if the value-comparisons don't intuitively make sense.  One particular ""gotcha"" can be plaintext-to-number comparisons (is a text representation of 500 really the same as the number 500?)."
°°°1°°° != °°°2°°°,https://docs.python.org/3/library/stdtypes.html#comparisons,,,,2,"#1:  plaintext, number, Boolean (True/False), etc.  #2:  plaintext, number, Boolean (True/False), etc.",Boolean (True/False),"Whether input expression #2 is the a different value from input expression #1.  You may get unexpected answers for True/False, or your program may halt with an error, if the value-comparisons don't intuitively make sense.  One particular ""gotcha"" can be plaintext-to-number comparisons (is a text representation of 500 really the same as the number 500?)."
°°°1°°° != °°°2°°°,,,,,2,"#1:  Pandas ""Series.""  #2:  plaintext, number, Boolean (True/False), etc.  (Or the reverse.)","Pandas ""Series""","The same-sized Pandas ""Series"" as in input expression #1, only with each value in the ""Series"" replaced by True/False explaining whether that value was a different value from input expression #2.  (Or equivalent, reading explanation w/ #1 & #2 swapped if swapped order in code.)  You may get unexpected answers for True/False, or your program may halt with an error, if the value-comparisons don't intuitively make sense.  One particular ""gotcha"" can be plaintext-to-number comparisons (is a text representation of 500 really the same as the number 500?)."
°°°1°°° < °°°2°°°,https://docs.python.org/3/library/stdtypes.html#comparisons,,,,2,"#1:  plaintext, number, Boolean (True/False), etc.  #2:  plaintext, number, Boolean (True/False), etc.",Boolean (True/False),"Whether input expression #2 is ""less than"" input expression #1.  You may get unexpected answers for True/False, or your program may halt with an error, if the value-comparisons don't intuitively make sense.  For example, ""True"" is ""greater than"" false and ""equal to"" 1,"" and you'll want to be careful when doing things like ""greater than"" on text."
°°°1°°° < °°°2°°°,,,,,2,"#1:  Pandas ""Series.""  #2:  plaintext, number, Boolean (True/False), etc.  (Or the reverse.)","Pandas ""Series""","The same-sized Pandas ""Series"" as in input expression #1, only with each value in the ""Series"" replaced by True/False explaining whether that value was ""less than"" the value from input expression #2.  (Or equivalent, reading explanation w/ #1 & #2 swapped if swapped order in code.)  You may get unexpected answers for True/False, or your program may halt with an error, if the value-comparisons don't intuitively make sense.  For example, ""True"" is ""greater than"" false and ""equal to"" 1,"" and you'll want to be careful when doing things like ""greater than"" on text."
°°°1°°° > °°°2°°°,https://docs.python.org/3/library/stdtypes.html#comparisons,,,,2,"#1:  plaintext, number, Boolean (True/False), etc.  #2:  plaintext, number, Boolean (True/False), etc.",Boolean (True/False),You get the point
°°°1°°° > °°°2°°°,,,,,2,"#1:  Pandas ""Series.""  #2:  plaintext, number, Boolean (True/False), etc.  (Or the reverse.)","Pandas ""Series""",You get the point
°°°1°°° <= °°°2°°°,https://docs.python.org/3/library/stdtypes.html#comparisons,,,,2,"#1:  plaintext, number, Boolean (True/False), etc.  #2:  plaintext, number, Boolean (True/False), etc.",Boolean (True/False),You get the point
°°°1°°° <= °°°2°°°,,,,,2,"#1:  Pandas ""Series.""  #2:  plaintext, number, Boolean (True/False), etc.  (Or the reverse.)","Pandas ""Series""",You get the point
°°°1°°° >= °°°2°°°,https://docs.python.org/3/library/stdtypes.html#comparisons,,,,2,"#1:  plaintext, number, Boolean (True/False), etc.  #2:  plaintext, number, Boolean (True/False), etc.",Boolean (True/False),You get the point
°°°1°°° >= °°°2°°°,,,,,2,"#1:  Pandas ""Series.""  #2:  plaintext, number, Boolean (True/False), etc.  (Or the reverse.)","Pandas ""Series""",You get the point
°°°1°°° in °°°2°°°,https://docs.python.org/3/reference/expressions.html#in,,,,2,#1:  plaintext or number.  #2:  list.,Boolean (True/False),"Whether input expression #1 exists anywhere among the values in the (native Python) list used for input expression #2.  Note that you can't pass a Pandas ""Series"" as expression #2, but if you first convert it into a native Python list by appending "".tolist()"" to a native Pandas ""Series,"" you can pass THAT as expression #2."
°°°1°°° not in °°°2°°°,https://docs.python.org/3/reference/expressions.html#not-in,,,,2,#1:  plaintext or number.  #2:  list.,Boolean (True/False),"Whether input expression #1 DOESN'T exist at all among the values in the (native Python) list used for input expression #2.  Note that you can't pass a Pandas ""Series"" as expression #2, but if you first convert it into a native Python list by appending "".tolist()"" to a native Pandas ""Series,"" you can pass THAT as expression #2."
list(x for x in °°°1°°° if x not in °°°2°°°),https://docs.python.org/3/library/stdtypes.html#list,,,,2,#1:  list.  #2:  list.,list,"Produces a copy of the list from input expression #1, minus any of its values that happened to be values that were present in the list from input expression #2.  (Can be really handy for runinng against a list of CSV column-names as input #1, when you'd like to keep/remove columns in a Pandas DataFrame, but the list of things you want to keep/remove is best described as ""All columns except X, Y, & Z."")  Note that the ""x"" in the example code could be variable-name you choose, as long as you're not using it elsewhere in your code and as long as you keep it consistent all 3 times that it appears in this operation.  The choice of ""x"" isn't special -- it could be ""list(item for item in °°°1°°° if item not in °°°2°°°)"" instead, for example.  Note that you won't be able to refer to ""x"" or ""item"" or whatever you choose again after this expression -- it has a ""scope,"" or ""lifetime,"" of just between the parentheses of ""list()""."
°°°.str.lower(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.str.lower.html,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same Pandas ""Series"" as in the input expression, only with each of its values lower-cased.  Will abort your program with an error if values in your Pandas ""Series"" aren't of a ""data type"" that it makes sense to do this to."
°°°.str.upper(),,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same Pandas ""Series"" as in the input expression, only with each of its values upper-cased.  Will abort your program with an error if values in your Pandas ""Series"" aren't of a ""data type"" that it makes sense to do this to."
°°°.str.len(),,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same Pandas ""Series"" as in the input expression, only with each of its values replaced by an integer indicating how long the value is.  Will abort your program with an error if values in your Pandas ""Series"" aren't of a ""data type"" that it makes sense to do this to."
°°°.str.isnumeric(),,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same-sized Pandas ""Series"" as in the input expression, only with each value in the ""Series"" replaced by True/False explaining whether that value, when looked at as plaintext, could be interpreted by the naked eye to be ""a number."""
°°°1°°°.str.contains(°°°2°°°),,,,,2,"#1:  Pandas ""Series.""  #2:  plaintext.","Pandas ""Series""","The same-sized Pandas ""Series"" as in the input expression, only with each value in the ""Series"" replaced by True/False explaining whether that value ""contains"" input expression #2.  Will abort your program with an error if values in your Pandas ""Series"" aren't of a ""data type"" that it makes sense to do this to."
"°°°1°°°.str.replace(°°°2°°°,°°°3°°°)",,,,,3,"#1:  Pandas ""Series.""  #2:  plaintext.  #3:  plaintext.","Pandas ""Series""","The same-sized Pandas ""Series"" as in the input expression, only with each value in the ""Series"" replaced by a copy of itself where any substring matching input expression #2 has been replaced by input expression #3.  Remember that to simply remove input expression #2, you can make input expression #3 an ""empty string"" (two single-quotes back to back with nothing between them)."
°°°.astype(str),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.astype.html,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same Pandas ""Series"" as in the input expression, only with each of its values replaced by a plaintext version of the value.  Will abort your program with an error if values in your Pandas ""Series"" aren't of a ""data type"" that it makes sense to do this to."
°°°1°°°.str.zfill(°°°2°°°),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.str.zfill.html,,,,2,"#1:  Pandas ""Series.""  #2:  number (specifically, integer).","Pandas ""Series""","The same Pandas ""Series"" as in input expression #1, only with each of its purely-numeric-looking plaintext values replaced by a plaintext version of the value with zeroes padded out to the left until the value is as long as specified by input expression #2.  Good for zip codes padding, only it doesn't work when the values within the ""Series"" are numbers, so be sure to run .astype(str) against the Series first.  Will abort your program with an error if values in your Pandas ""Series"" aren't of a ""data type"" that it makes sense to do this to."
